,test1,test2,test3,test4,test5
0,3,1,7,0,4
1,5,17,10,2,8
2,6,22,13,9,15
3,12,23,24,11,18
4,14,35,30,16,19
5,20,36,33,29,21
6,25,37,42,31,26
7,28,46,43,49,27
8,38,78,47,50,32
9,40,85,54,56,34
10,52,86,57,60,39
11,58,99,61,64,41
12,66,102,65,74,44
13,69,111,67,76,45
14,70,128,72,87,48
15,73,131,81,89,51
16,75,137,88,95,53
17,79,141,107,98,55
18,83,142,110,101,59
19,93,153,115,105,62
20,96,158,118,126,63
21,97,159,120,133,68
22,100,172,121,140,71
23,106,173,134,147,77
24,112,178,135,155,80
25,113,180,145,156,82
26,117,181,146,160,84
27,119,184,149,163,90
28,123,192,150,166,91
29,124,194,167,179,92
30,127,202,169,183,94
31,129,203,171,186,103
32,130,206,174,188,104
33,132,208,177,190,108
34,136,221,185,191,109
35,143,225,196,193,114
36,144,227,204,200,116
37,148,228,223,205,122
38,151,230,226,207,125
39,152,233,232,211,138
40,154,237,238,214,139
41,157,240,239,215,161
42,162,248,241,219,164
43,195,270,242,229,165
44,197,276,245,231,168
45,198,278,250,236,170
46,201,284,251,243,175
47,209,294,256,253,176
48,212,298,260,254,182
49,213,302,271,261,187
50,216,305,274,262,189
51,220,310,275,263,199
52,246,320,279,268,210
53,249,327,280,281,217
54,252,329,282,283,218
55,257,332,289,285,222
56,259,337,293,295,224
57,266,348,296,301,234
58,267,350,306,309,235
59,286,353,307,319,244
60,288,358,321,322,247
61,290,360,323,326,255
62,291,362,324,336,258
63,299,364,341,338,264
64,300,365,345,343,265
65,303,368,352,359,269
66,304,371,355,363,272
67,312,373,372,369,273
68,314,376,375,381,277
69,315,377,378,384,287
70,316,382,393,385,292
71,339,402,401,390,297
72,346,405,408,392,308
73,347,410,409,397,311
74,349,412,411,398,313
75,351,415,418,399,317
76,361,426,440,419,318
77,370,429,441,423,325
78,374,437,448,427,328
79,380,438,449,434,330
80,383,442,450,439,331
81,388,447,459,444,333
82,391,453,461,445,334
83,394,457,470,451,335
84,396,463,472,454,340
85,400,469,473,455,342
86,406,480,483,460,344
87,413,481,488,464,354
88,416,484,491,465,356
89,420,494,495,467,357
90,425,497,504,468,366
91,431,502,506,474,367
92,433,517,508,482,379
93,435,524,516,487,386
94,443,525,526,492,387
95,446,531,528,493,389
96,471,534,529,501,395
97,475,537,533,503,403
98,476,542,535,505,404
99,477,543,550,509,407
100,478,549,552,510,414
101,485,551,553,511,417
102,486,568,561,514,421
103,496,571,564,515,422
104,498,573,570,520,424
105,499,586,575,536,428
106,500,587,577,538,430
107,518,601,583,541,432
108,519,605,588,545,436
109,523,606,591,546,452
110,527,622,592,554,456
